"customer_name","total_profit"
"Tamara Chand",8981.32
"Raymond Buch",6976.09
"Sanjit Chand",5757.42
"Hunter Lopez",5622.43
"Adrian Barton",5444.81
"Tom Ashbrook",4703.80
"Christopher Martinez",3899.91
"Keith Dawkins",3038.58
"Andy Reiter",2884.61
"Daniel Raglin",2869.08
"Tom Boeckenhauer",2798.37
"Nathan Mautz",2751.69
"Sanjit Engle",2650.67
"Bill Shonely",2616.06
"Harry Marie",2437.97
"Todd Sumrall",2371.73
"Brian Moss",2199.28
"Christopher Conant",2177.05
"Jane Waco",2173.71
"Helen Wasserman",2164.17
