"customer_name","purchases"
"William Brown",37
"John Lee",34
"Matt Abelman",34
"Paul Prost",34
"Chloris Kastensmidt",32
"Jonathan Doherty",32
"Edward Hooks",32
"Seth Vernon",32
"Zuschuss Carroll",31
"Arthur Prichep",31
"Emily Phan",31
"Lena Cacioppo",30
"Greg Tran",29
"Ken Lonsdale",29
"Sally Hughsby",29
"Dean percer",29
"Brian Moss",29
"Chris Selesnick",28
"Kunst Miller",28
"Xylona Preis",28
"Clay Ludtke",28
"Keith Dawkins",28
"Ben Ferrer",27
"Damala Kotsonis",27
"Cassandra Brandow",26
"Noel Staavos",26
"Steven Cartwright",26
"Patrick Gardner",26
"Laura Armstrong",26
"Resi Pölking",25
"Adam Shillingsburg",25
"Pete Kriz",25
"Stewart Visinsky",25
"Erin Ashbrook",25
"Clytie Kelty",25
"Greg Guthrie",24
"Sanjit Jacobs",24
"Maribeth Schnelling",24
"Rob Lucas",24
"Dan Reichenbach",24
"Sung Pak",24
"Brosina Hoffman",24
"Stefania Perrino",24
"Laurel Beltran",24
"Joseph Airdo",24
"Rick Wilson",23
"Joel Eaton",23
"Lena Creighton",23
"Anna Häberlin",23
"Dennis Kane",23
"Keith Herrera",23
"Rick Bensley",23
"Dave Hallsten",23
"Ken Black",23
"Guy Armstrong",22
"Maria Etezadi",22
"Sanjit Chand",22
"Kelly Lampkin",22
"Natalie Webber",22
"Karl Braun",22
"Russell Applegate",22
"Mick Hernandez",22
"Suzanne McNair",22
"Patrick O'Brill",22
"Joe Elijah",22
"Anne McFarland",22
"Lindsay Shagiari",22
"Chris Cortes",22
"Carlos Soltero",22
"Christine Sundaresam",22
"Ruben Dartt",21
"Dean Braden",21
"Irene Maddox",21
"Stewart Carmichael",21
"Arthur Gainer",21
"Anthony Johnson",21
"Barry Französisch",21
"Muhammed Yedwab",21
"Saphhira Shifley",21
"Frank Hawley",21
"Pamela Stobb",21
"Shirley Daniels",21
"Naresj Patel",21
"Andrew Gjertsen",21
"Eugene Moren",21
"Sue Ann Reed",21
"Darrin Martin",20
"Helen Wasserman",20
"Brenda Bowman",20
"Erin Smith",20
"Shahid Collister",20
"Edward Becker",20
"Katherine Murray",20
"Adrian Barton",20
"Brian Thompson",20
"Roger Demir",20
"Harry Marie",20
"Frank Merwin",20
"Tracy Blumstein",20
"Bart Pistole",20
"Caroline Jumper",20
"Nick Zandusky",20
"David Smith",20
"Sam Zeldin",20
"Joe Kamberova",20
"Marina Lichtenstein",20
"Jim Epp",20
"George Bell",20
"Michael Paige",20
"Adam Hart",20
"Brian Dahlen",20
"Cynthia Voltz",19
"Anne Pryor",19
"Justin MacKendrick",19
"Steve Nguyen",19
"Chuck Clark",19
"Tamara Manning",19
"Thomas Seio",19
"Darrin Sayre",19
"Rob Dowd",19
"Janet Martin",19
"Dean Katz",19
"Herbert Flentye",19
"Mick Crebagga",19
"Maxwell Schwartz",19
"Michelle Moray",19
"Jamie Frazer",19
"Logan Currie",19
"Peter Fuller",19
"Mike Pelletier",19
"Tim Brockman",19
"Claudia Bergmann",19
"Maria Bertelson",19
"Kalyca Meade",19
"Logan Haushalter",19
"Bill Donatelli",19
"Sanjit Engle",19
"Eugene Hildebrand",18
"Victoria Wilson",18
"Katharine Harms",18
"Carol Triggs",18
"Helen Andreada",18
"Natalie DeCherney",18
"Matt Connell",18
"Stephanie Ulpright",18
"Ben Peterman",18
"Anna Andreadi",18
"Raymond Buch",18
"Scott Cohen",18
"Arianne Irving",18
"Dan Campbell",18
"James Galang",18
"Philisse Overcash",18
"Becky Castell",18
"Ross Baird",18
"Ann Chong",18
"Joy Smith",18
"Adam Bellavance",18
"Karen Ferguson",18
"Ted Butterfield",18
"Justin Deggeller",17
"Sam Craven",17
"Julie Kriz",17
"Paul Gonzalez",17
"Matt Collister",17
"Gary Hansen",17
"Ken Heidel",17
"Delfina Latchford",17
"Theresa Swint",17
"Darren Powers",17
"Frank Atkinson",17
"Sean Braxton",17
"Bradley Nguyen",17
"Eric Hoffmann",17
"Maribeth Dona",17
"Christina Anderson",17
"Michael Kennedy",17
"Jeremy Lonsdale",17
"Tom Boeckenhauer",17
"Katherine Nockton",17
"Jay Kimmel",17
"Nona Balk",17
"Henry Goldwyn",17
"Cynthia Arntzen",17
"Bart Watters",17
"Nat Carroll",17
"Ralph Arnett",17
"Sylvia Foulston",17
"John Castell",16
"Toby Carlisle",16
"Luke Foster",16
"Adrian Hane",16
"Rob Williams",16
"Randy Ferguson",16
"Ross DeVincentis",16
"Tamara Dahlen",16
"Jennifer Braxton",16
"Theone Pippenger",16
"Berenike Kampe",16
"Beth Paige",16
"Jill Fjeld",16
"Nat Gilpin",16
"Jeremy Pistek",16
"Annie Thurman",16
"Michael Moore",16
"Valerie Dominguez",16
"Jay Fein",16
"Lena Radford",16
"Giulietta Baptist",16
"Elizabeth Moffitt",16
"Becky Martin",16
"Arthur Wiediger",16
"Art Ferguson",16
"Karen Daniels",16
"Richard Bierner",16
"Todd Sumrall",15
"Liz Preis",15
"Kristen Hastings",15
"Stephanie Phelps",15
"Dianna Vittorini",15
"Kristina Nunn",15
"Maurice Satty",15
"Ruben Ausman",15
"Cynthia Delaney",15
"Jeremy Farry",15
"Thomas Thornton",15
"Robert Waldorf",15
"Luke Weiss",15
"Nick Crebassa",15
"Laurel Workman",15
"Neola Schneider",15
"Neoma Murray",15
"Lena Hernandez",15
"Max Jones",15
"Allen Armold",15
"Sarah Foster",15
"Katrina Edelman",15
"Dana Kaydos",15
"Frank Olsen",15
"Anthony Jacobs",15
"Skye Norling",15
"Trudy Brown",15
"Heather Kirkland",15
"Sean Miller",15
"Rick Duston",15
"Odella Nelson",15
"Shahid Hopkins",15
"Sample Company A",15
"Sung Shariari",15
"Roy Phan",15
"Sean O'Donnell",15
"Christine Phan",15
"Filia McAdams",15
"Maris LaWare",15
"Mark Van Huff",15
"Anna Gayman",15
"Jennifer Patt",15
"Liz Thompson",14
"Dorothy Badders",14
"Nathan Cano",14
"Dave Poirier",14
"Christopher Schild",14
"Jennifer Ferguson",14
"Michael Chen",14
"Alejandro Ballentine",14
"Mitch Webber",14
"Fred McMath",14
"Gary Zandusky",14
"Fred Harton",14
"Mark Packer",14
"Dan Lawera",14
"Frank Preis",14
"Daniel Lacy",14
"Darren Budd",14
"Denny Blanton",14
"Emily Ducich",14
"Luke Schmidt",14
"Linda Southworth",14
"Cathy Prescott",14
"Jason Fortune-",14
"Ivan Liston",14
"Victoria Pisteka",14
"Ted Trevino",14
"Dennis Pardue",14
"Craig Carreira",14
"Natalie Fritzler",14
"Nathan Mautz",14
"Matthew Grinstein",14
"Jane Waco",14
"Susan Pistek",14
"Katherine Hughes",14
"Grace Kelly",14
"David Bremer",14
"Alan Barnes",14
"Bryan Mills",14
"Trudy Schmidt",14
"Roland Fjeld",14
"Tony Sayre",14
"Harold Ryan",14
"Kean Takahito",14
"Sheri Gordon",14
"Linda Cazamias",14
"Bruce Stewart",14
"Benjamin Venier",14
"Tonja Turnell",14
"Roland Schwarz",14
"Cyma Kinney",14
"Frank Carlisle",14
"Alejandro Grove",14
"George Ashbrook",14
"Joseph Holt",14
"Steve Chapman",14
"Deborah Brumfield",13
"Denny Ordway",13
"Nick Radford",13
"Pauline Webber",13
"Nora Preis",13
"Michael Granlund",13
"Todd Boyes",13
"Alan Hwang",13
"Maribeth Yedwab",13
"Hallie Redmond",13
"Penelope Sewall",13
"Jeremy Ellison",13
"Don Jones",13
"Cindy Chapman",13
"Ken Dana",13
"Parhena Norris",13
"Anthony Rawles",13
"Paul Stevenson",13
"Quincy Jones",13
"Daniel Raglin",13
"Brad Eason",13
"Gene McClure",13
"Craig Molinari",13
"Bill Stewart",13
"Speros Goranitis",13
"Barbara Fisher",13
"Patrick Jones",13
"Dave Kipp",13
"Jack O'Briant",13
"Christina VanderZanden",13
"Max Ludwig",13
"Patrick O'Donnell",13
"Tiffany House",13
"Jamie Kunitz",13
"Alan Schoenberger",13
"John Murray",13
"Marc Crier",13
"Tracy Hopkins",13
"Christina DeMoss",13
"Marc Harrigan",13
"Fred Hopkins",13
"Paul Van Hugh",13
"Julie Prescott",13
"Susan Vittorini",13
"Max Engle",13
"Janet Molinari",13
"Alan Shonely",13
"Denise Monton",13
"Chad Cunningham",13
"Dave Brooks",13
"Kean Thornton",13
"Jim Kriz",12
"Lynn Smith",12
"Annie Zypern",12
"Michelle Arnett",12
"Jack Lebron",12
"Tamara Chand",12
"Rachel Payne",12
"Sarah Brown",12
"Lauren Leatherbury",12
"Corey Catlett",12
"Gary Mitchum",12
"Patrick Ryan",12
"Yana Sorensen",12
"Daniel Byrd",12
"Christy Brittain",12
"Tamara Willingham",12
"Tanja Norvell",12
"Lisa Ryan",12
"Jim Karlsson",12
"Dionis Lloyd",12
"Andrew Allen",12
"Steven Roelle",12
"Barry Gonzalez",12
"Muhammed MacIntyre",12
